id,nctn,invn,suffix,tsk,lir,ogtd,cls,controllo_inventario,rifatta,
10457,1600010457,65476,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10458,1600010458,65477,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10459,1600010459,65478,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10460,1600010460,65479,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10461,1600010461,65480,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10462,1600010462,65481,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10463,1600010463,65482,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10464,1600010464,65483,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10465,1600010465,65484,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10466,1600010466,65485,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10467,1600010467,65486,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10468,1600010468,65487,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10469,1600010469,65488,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10470,1600010470,65489,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10471,1600010471,65490,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10472,1600010472,65491,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10473,1600010473,65492,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10474,1600010474,65493,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10475,1600010475,65494,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10476,1600010476,65495,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10477,1600010477,65496,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10478,1600010478,65497,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10479,1600010479,65498,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10480,1600010480,65499,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10481,1600010481,65500,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10482,1600010482,65501,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10483,1600010483,65502,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
10484,1600010484,65503,,RA,C,Rilievo del culto di Apollo-Hyakinthos (Polyboia ?),,0,f,
