id,scheda,materia,tecnica
214,,253,Tecnica non presente in lista
215,,253,Tecnica non presente in lista
234,,253,Tecnica non presente in lista
235,,253,Tecnica non presente in lista
254,,253,Tecnica non presente in lista
511,,253,Tecnica non presente in lista
527,,253,Tecnica non presente in lista
528,,253,Tecnica non presente in lista
565,,253,Tecnica non presente in lista
147,,253,Tecnica non presente in lista
203,,253,Tecnica non presente in lista
172,,253,Tecnica non presente in lista
134,,253,Tecnica non presente in lista
135,,253,Tecnica non presente in lista
3,,253,Tecnica non presente in lista
551,,272,Tecnica non presente in lista
568,,272,Tecnica non presente in lista
569,,272,Tecnica non presente in lista
570,,272,Tecnica non presente in lista
571,,272,Tecnica non presente in lista
572,,272,Tecnica non presente in lista
573,,272,Tecnica non presente in lista
574,,272,Tecnica non presente in lista
575,,272,Tecnica non presente in lista
576,,272,Tecnica non presente in lista
577,,272,Tecnica non presente in lista
593,,272,Tecnica non presente in lista
