nctn,stis,stid
325041,100,2008
325042,100,2008
325043,100,2008
325044,100,2008
325045,100,2008
325046,100,2008
325047,100,2008
325048,100,2008
325049,100,2008
325050,100,2008
325051,100,2008
325052,100,2008
325053,100,2008
325054,100,2008
325055,100,2008
325056,100,2008
325057,100,2008
325058,100,2008
325059,100,2008
325060,100,2008
325061,100,2008
325062,100,2008
325063,100,2008
325064,100,2008
325065,100,2008
325066,100,2008
325067,100,2008
325068,100,2008
325069,100,2008
325070,100,2008
325071,100,2008
325072,100,2008
325073,100,2008
325074,100,2008
325075,100,2008
325076,100,2008
325077,100,2008
325078,100,2008
325079,100,2008
325080,100,2008
325081,100,2008
325082,100,2008
325083,100,2008
325084,100,2008
325085,100,2008
325086,100,2008
325087,100,2008
325088,100,2008
325089,100,2008
325090,100,2008
325091,100,2008
325092,100,2008
325093,100,2008
325094,100,2008
325095,100,2008
325096,100,2008
325097,100,2008
325098,100,2008
325099,100,2008
325100,100,2008
325101,100,2008
325102,100,2008
325103,100,2008
325104,100,2008
325105,100,2008
325106,100,2008
325107,100,2008
325108,100,2008
325109,100,2008
325110,100,2008
325111,100,2008
325112,100,2008
325113,100,2008
325114,100,2008
325115,100,2008
325116,100,2008
325117,100,2008
325118,100,2008
325119,100,2008
325120,100,2008
325121,100,2008
325122,100,2008
325123,100,2008
325124,100,2008
325125,100,2008
325126,100,2008
325127,100,2008
325128,100,2008
325129,100,2008
325130,100,2008
325131,100,2008
325132,100,2008
325133,100,2008
325134,100,2008
325135,100,2008
325136,100,2008
325137,100,2008
325138,100,2008
325139,100,2008
325140,100,2008
325141,100,2008
325142,100,2008
325143,100,2008
325144,100,2008
325145,100,2008
325146,100,2008
325147,100,2008
325148,100,2008
325149,100,2008
325150,100,2008
325151,100,2008
325152,100,2008
325153,100,2008
325154,100,2008
325155,100,2008
325156,100,2008
325157,100,2008
325158,100,2008
325159,100,2008
325160,100,2008
325161,100,2008
325162,100,2008
325163,100,2008
325164,100,2008
325165,100,2008
325166,100,2008
325167,100,2008
325168,100,2008
325169,100,2008
325170,100,2008
325171,100,2008
325172,100,2008
325173,100,2008
325174,100,2008
325175,100,2008
325176,100,2008
325177,100,2008
325178,100,2008
325179,100,2008
325180,100,2008
325181,100,2008
325182,100,2008
325183,100,2008
325184,100,2008
325185,100,2008
325186,100,2008
325187,100,2008
325188,100,2008
325189,100,2008
325190,100,2008
325191,100,2008
325192,100,2008
325193,100,2008
325194,100,2008
325195,100,2008
325196,100,2008
325197,100,2008
325198,100,2008
325199,100,2008
325200,100,2008
325201,100,2008
325202,100,2008
325203,100,2008
325204,100,2008
325205,100,2008
325206,100,2008
325207,100,2008
325208,100,2008
325209,100,2008
325210,100,2008
325211,100,2008
325212,100,2008
325213,100,2008
325214,100,2008
325215,100,2008
325216,100,2008
325217,100,2008
325218,100,2008
325219,100,2008
325220,100,2008
325221,100,2008
325222,100,2008
325223,100,2008
325224,100,2008
325225,100,2008
325226,100,2008
325227,100,2008
325228,100,2008
325229,100,2008
325230,100,2008
325231,100,2008
325232,100,2008
325233,100,2008
325234,100,2008
325235,100,2008
325236,100,2008
325237,100,2008
325238,100,2008
325239,100,2008
325240,100,2008
325241,100,2008
325242,100,2008
325243,100,2008
325244,100,2008
325245,100,2008
325246,100,2008
325247,100,2008
325248,100,2008
325249,100,2008
325250,100,2008
325251,100,2008
325252,100,2008
325253,100,2008
325254,100,2008
325255,100,2008
325256,100,2008
325257,100,2008
325258,100,2008
325259,100,2008
325260,100,2008
325261,100,2008
325262,100,2008
325263,200,2008
325264,100,2008
333078,800,ante 2022
333560,2000,ante 2022
334182,1000,ante 2022
334113,1000,ante 2022
334114,1000,ante 2022
329369,5000,ante 2022
347110,500,ante 2022
365117,41350,ante 2022
347111,10000,ante 2022
328124,260,ante 2022
328125,150,ante 2022
328126,200,ante 2022
328127,100,ante 2022
334496,200,ante 2022
328128,500,ante 2022
334497,10000,ante 2022
365146,1600,ante 2022
328129,1500,ante 2022
345161,35000,ante 2022
328130,10000,ante 2022
328131,5000,ante 2022
334065,100000,ante 2022
334066,50000,ante 2022
328132,40000,ante 2022
347112,10000,ante 2022
347113,50000,ante 2022
347114,20000,ante 2022
347115,50,ante 2022
347116,50,ante 2022
347117,50,ante 2022
347118,50,ante 2022
347119,100,ante 2022
347120,70,ante 2022
347121,50,ante 2022
347122,50,ante 2022
347123,200,ante 2022
347124,100,ante 2022
347125,50,ante 2022
347126,70,ante 2022
347127,70,ante 2022
347128,70,ante 2022
347129,100,ante 2022
347130,200,ante 2022
347131,200,ante 2022
347132,300,ante 2022
329370,30,ante 2022
347133,1,ante 2022
347134,1,ante 2022
347135,1,ante 2022
347136,1,ante 2022
347137,1,ante 2022
347138,1,ante 2022
347139,1,ante 2022
347140,1,ante 2022
347141,1,ante 2022
347142,1,ante 2022
347143,1,ante 2022
347144,1,ante 2022
347145,1,ante 2022
347146,1,ante 2022
347147,1,ante 2022
347148,1,ante 2022
347149,1,ante 2022
347150,1,ante 2022
347151,1,ante 2022
347152,1,ante 2022
347153,1,ante 2022
347154,1,ante 2022
347155,1,ante 2022
347156,1,ante 2022
347157,1,ante 2022
347158,1,ante 2022
347159,1,ante 2022
347160,1,ante 2022
347161,1,ante 2022
347162,1,ante 2022
347163,1,ante 2022
347164,1,ante 2022
347165,1,ante 2022
347166,1,ante 2022
347167,1,ante 2022
347168,1,ante 2022
347169,1,ante 2022
347170,1,ante 2022
347171,1,ante 2022
347172,1,ante 2022
347173,1,ante 2022
347174,1,ante 2022
347175,1,ante 2022
347176,1,ante 2022
347177,1,ante 2022
347178,1,ante 2022
347179,1,ante 2022
347180,1,ante 2022
347181,1,ante 2022
347182,1,ante 2022
347183,1,ante 2022
347184,1,ante 2022
347185,1,ante 2022
347186,1,ante 2022
347187,1,ante 2022
347188,1,ante 2022
347189,1,ante 2022
347190,1,ante 2022
347191,1,ante 2022
347192,1,ante 2022
347193,1,ante 2022
347194,1,ante 2022
347195,1,ante 2022
347196,1,ante 2022
347197,1,ante 2022
347198,1,ante 2022
347199,1,ante 2022
347200,1,ante 2022
347201,1,ante 2022
347202,1,ante 2022
347203,1,ante 2022
347204,1,ante 2022
347205,1,ante 2022
347206,1,ante 2022
347207,1,ante 2022
347208,1,ante 2022
347209,1,ante 2022
347210,1,ante 2022
347211,1,ante 2022
347212,1,ante 2022
347213,1,ante 2022
347214,1,ante 2022
347215,1,ante 2022
347216,1,ante 2022
347217,1,ante 2022
347218,1,ante 2022
347219,1,ante 2022
347220,1,ante 2022
347221,1,ante 2022
347222,1,ante 2022
347223,1,ante 2022
347224,1,ante 2022
347225,1,ante 2022
347226,1,ante 2022
347227,1,ante 2022
347228,1,ante 2022
347229,1,ante 2022
347230,1,ante 2022
347231,1,ante 2022
347232,1,ante 2022
347233,1,ante 2022
347234,1,ante 2022
347235,1,ante 2022
347236,1,ante 2022
347237,1,ante 2022
347238,1,ante 2022
347239,1,ante 2022
347240,1,ante 2022
347241,1,ante 2022
347242,1,ante 2022
347243,1,ante 2022
347244,1,ante 2022
347245,1,ante 2022
347246,1,ante 2022
347247,1,ante 2022
347248,1,ante 2022
347249,1,ante 2022
347250,1,ante 2022
347251,1,ante 2022
347252,1,ante 2022
347253,1,ante 2022
347254,1,ante 2022
347255,1,ante 2022
347256,1,ante 2022
347257,1,ante 2022
347258,1,ante 2022
347259,1,ante 2022
347260,1,ante 2022
347261,1,ante 2022
347262,1,ante 2022
347263,1,ante 2022
347264,1,ante 2022
347265,1,ante 2022
347266,1,ante 2022
347267,1,ante 2022
347268,1,ante 2022
347269,1,ante 2022
347270,1,ante 2022
347271,1,ante 2022
347272,1,ante 2022
347273,1,ante 2022
347274,1,ante 2022
347275,1,ante 2022
347276,1,ante 2022
347277,1,ante 2022
347278,1,ante 2022
347279,1,ante 2022
347280,1,ante 2022
347281,1,ante 2022
347282,1,ante 2022
347283,1,ante 2022
347284,1,ante 2022
347285,1,ante 2022
347286,1,ante 2022
347287,1,ante 2022
347288,1,ante 2022
347289,1,ante 2022
347290,1,ante 2022
347291,1,ante 2022
347292,1,ante 2022
347293,1,ante 2022
347294,1,ante 2022
347295,1,ante 2022
347296,1,ante 2022
347297,1,ante 2022
347298,1,ante 2022
347299,1,ante 2022
347300,1,ante 2022
347301,1,ante 2022
347302,1,ante 2022
347303,1,ante 2022
347304,1,ante 2022
347305,1,ante 2022
347306,1,ante 2022
347307,1,ante 2022
347308,1,ante 2022
347309,1,ante 2022
347310,1,ante 2022
347311,1,ante 2022
347312,1,ante 2022
347313,1,ante 2022
347314,1,ante 2022
347315,1,ante 2022
347316,1,ante 2022
347317,1,ante 2022
347318,1,ante 2022
347319,1,ante 2022
347320,1,ante 2022
347321,1,ante 2022
347322,1,ante 2022
347323,1,ante 2022
347324,1,ante 2022
347325,1,ante 2022
347326,1,ante 2022
347327,1,ante 2022
347328,100,ante 2022
347329,100,ante 2022
347330,100,ante 2022
347331,50,ante 2022
347332,7,ante 2022
347333,7,ante 2022
347334,7,ante 2022
347335,7,ante 2022
347336,7,ante 2022
347337,7,ante 2022
347338,7,ante 2022
347339,7,ante 2022
347340,7,ante 2022
347341,7,ante 2022
347342,7,ante 2022
347343,7,ante 2022
347344,7,ante 2022
347345,7,ante 2022
347346,7,ante 2022
347347,7,ante 2022
347348,7,ante 2022
347349,7,ante 2022
347350,7,ante 2022
347351,7,ante 2022
347352,7,ante 2022
347353,7,ante 2022
347354,7,ante 2022
347355,7,ante 2022
347356,7,ante 2022
