scheda_temp,scheda,biblio_temp,biblio,contributo_temp,contributo,pagine,figura,livello
370,,,150,75,,pp. 416-417,,4
370,,,174,84,,pp. 87-94,,4
371,,,95,5,,p. 474,397,4
371,,,161,,,p. 57,22,4
372,,,161,,,p. 109,9.28,4
372,,,173,38,,p. 491,45,4
373,,,161,,,p. 185,33.4,4
373,,2,,,,p. 99,,4
374,,,161,,,p. 207,48.6,4
374,,11,,67,,p. 138,Tav. XXVIII.13.5i,4
375,,,161,,,p. 207,48.6,4
375,,11,,67,,p. 138,Tav. XXVIII.13.5i,4
376,,,161,,,pp. 119-123,12.11,4
376,,,178,,,p. 63,Abb. 22,4
377,,,173,34,,pp. 501-502,,4
377,,,178,,,p. 210,E3-37,4
379,,,178,,,p. 217,F-11,4
379,,11,,66,,p. 349,Tav. LXIII.30.13d,4
380,,,178,,,p. 217,F-11,4
380,,11,,66,,p. 349,Tav. LXIII.30.13e,4
381,,,178,,,p. 217,F-11,4
381,,11,,66,,p. 349,Tav. LXIII.30.13f,4
382,,13,,72,,p. 467,,4
382,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
383,,3,,41,,p. 298,fig. 343,4
385,,,161,,,p. 109,9.20,4
385,,,173,38,,p. 490,40,4
386,,,161,,,p. 113,9.53,4
386,,,173,38,,p. 488,12,4
388,,,161,,,p. 109,9.24,4
388,,,173,38,,p. 492,52,4
389,,,161,,,p. 109,9.24,4
389,,,173,38,,p. 489,28,4
390,,,173,20,,p. 301,cat. 243,4
390,,12,,71,,p. 664,Fig. 679,4
391,,,173,22,,p. 301,cat. 245,4
392,,,154,76,,pp. 53-54,,4
393,,,173,14,,p. 93,cat. 22,4
394,,,161,,,p. 71,3.4,4
394,,,173,24,,p. 302,cat. 249,4
395,,,161,,,p. 209,48.16,4
395,,11,,67,,p. 137,Tav. XXII.13.5b,4
396,,,161,,,p. 196,38.15,4
396,,5,,44,,p. 258,,4
397,,,161,,,p. 196,38.16,4
397,,5,,44,,p. 258,,4
410,,3,,41,,p. 296,fig. 340,4
412,,12,,71,,p. 664,Fig. 680,4
413,,12,,71,,p. 664,Fig. 680,4
414,,12,,71,,p. 664,Fig. 680,4
415,,3,,41,,p. 326,fig. 385,4
415,,12,,71,,p. 664,Fig. 680,4
416,,11,,67,,p. 153,Tav. XXVI-XXXII.13.22,4
420,,,161,,,p. 207,48.4,4
420,,,173,26,,p. 343,cat. 295,4
426,,13,,72,,p. 467,,4
426,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
431,,,173,15,,p. 294,cat. 221,4
432,,13,,72,,p. 467,,4
432,,11,,63,,pp. 209-210,Tav. XLVIII.17.12b,4
433,,,161,,,p. 80,4.8,4
433,,,173,37,,p. 464,6,4
434,,,161,,,p. 80,4.8,4
434,,,173,37,,p. 468,6,4
435,,,161,,,p. 80,4.8,4
435,,,173,37,,p. 468,6,4
436,,,161,,,p. 80,4.8,4
