id_temp,scheda,materia,tecnica
878,,53,Tecnica non presente in lista
879,,53,Tecnica non presente in lista
880,,53,Tecnica non presente in lista
881,,53,Tecnica non presente in lista
882,,53,Tecnica non presente in lista
883,,53,Tecnica non presente in lista
884,,53,Tecnica non presente in lista
885,,53,Tecnica non presente in lista
886,,53,Tecnica non presente in lista
887,,53,Tecnica non presente in lista
888,,53,Tecnica non presente in lista
889,,53,Tecnica non presente in lista
890,,53,Tecnica non presente in lista
891,,53,Tecnica non presente in lista
892,,53,Tecnica non presente in lista
893,,53,Tecnica non presente in lista
894,,53,Tecnica non presente in lista
895,,53,Tecnica non presente in lista
896,,53,Tecnica non presente in lista
897,,53,Tecnica non presente in lista
898,,53,Tecnica non presente in lista
899,,53,Tecnica non presente in lista
900,,53,Tecnica non presente in lista
901,,53,Tecnica non presente in lista
902,,53,Tecnica non presente in lista
903,,53,Tecnica non presente in lista
904,,53,Tecnica non presente in lista
905,,53,Tecnica non presente in lista
906,,53,Tecnica non presente in lista
907,,53,Tecnica non presente in lista
908,,53,Tecnica non presente in lista
909,,53,Tecnica non presente in lista
910,,53,Tecnica non presente in lista
911,,53,Tecnica non presente in lista
912,,53,Tecnica non presente in lista
913,,53,Tecnica non presente in lista
914,,53,Tecnica non presente in lista
915,,53,Tecnica non presente in lista
916,,53,Tecnica non presente in lista
917,,53,Tecnica non presente in lista
918,,53,Tecnica non presente in lista
919,,53,Tecnica non presente in lista
920,,53,Tecnica non presente in lista
921,,53,Tecnica non presente in lista
922,,53,Tecnica non presente in lista
923,,53,Tecnica non presente in lista
924,,53,Tecnica non presente in lista
925,,53,Tecnica non presente in lista
926,,53,Tecnica non presente in lista
927,,53,Tecnica non presente in lista
928,,53,Tecnica non presente in lista
929,,53,Tecnica non presente in lista
930,,53,Tecnica non presente in lista
931,,53,Tecnica non presente in lista
932,,53,Tecnica non presente in lista
933,,53,Tecnica non presente in lista
934,,53,Tecnica non presente in lista
935,,53,Tecnica non presente in lista
936,,53,Tecnica non presente in lista
937,,53,Tecnica non presente in lista
938,,53,Tecnica non presente in lista
939,,53,Tecnica non presente in lista
940,,53,Tecnica non presente in lista
941,,53,Tecnica non presente in lista
942,,53,Tecnica non presente in lista
943,,53,Tecnica non presente in lista
944,,53,Tecnica non presente in lista
945,,53,Tecnica non presente in lista
946,,53,Tecnica non presente in lista
947,,53,Tecnica non presente in lista
948,,53,Tecnica non presente in lista
949,,53,Tecnica non presente in lista
950,,53,Tecnica non presente in lista
951,,53,Tecnica non presente in lista
952,,53,Tecnica non presente in lista
953,,53,Tecnica non presente in lista
954,,53,Tecnica non presente in lista
955,,53,Tecnica non presente in lista
956,,53,Tecnica non presente in lista
957,,53,Tecnica non presente in lista
958,,53,Tecnica non presente in lista
959,,53,Tecnica non presente in lista
960,,53,Tecnica non presente in lista
961,,53,Tecnica non presente in lista
962,,53,Tecnica non presente in lista
963,,53,Tecnica non presente in lista
964,,53,Tecnica non presente in lista
965,,53,Tecnica non presente in lista
966,,53,Tecnica non presente in lista
967,,53,Tecnica non presente in lista
968,,53,Tecnica non presente in lista
969,,53,Tecnica non presente in lista
970,,53,Tecnica non presente in lista
971,,53,Tecnica non presente in lista
972,,53,Tecnica non presente in lista
973,,53,Tecnica non presente in lista
974,,53,Tecnica non presente in lista
975,,53,Tecnica non presente in lista
976,,53,Tecnica non presente in lista
977,,53,Tecnica non presente in lista
978,,53,Tecnica non presente in lista
979,,53,Tecnica non presente in lista
980,,53,Tecnica non presente in lista
981,,53,Tecnica non presente in lista
982,,53,Tecnica non presente in lista
983,,53,Tecnica non presente in lista
984,,53,Tecnica non presente in lista
985,,53,Tecnica non presente in lista
986,,53,Tecnica non presente in lista
987,,53,Tecnica non presente in lista
988,,53,Tecnica non presente in lista
989,,53,Tecnica non presente in lista
990,,53,Tecnica non presente in lista
991,,53,Tecnica non presente in lista
992,,53,Tecnica non presente in lista
993,,53,Tecnica non presente in lista
994,,53,Tecnica non presente in lista
995,,53,Tecnica non presente in lista
996,,53,Tecnica non presente in lista
997,,53,Tecnica non presente in lista
998,,53,Tecnica non presente in lista
999,,53,Tecnica non presente in lista
1000,,53,Tecnica non presente in lista
1001,,53,Tecnica non presente in lista
1002,,53,Tecnica non presente in lista
1003,,53,Tecnica non presente in lista
1004,,53,Tecnica non presente in lista
1005,,53,Tecnica non presente in lista
1006,,186,a intaglio
1007,,184,"a sbalzo per impressione, ritaglio"
